Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,256,128,4,500000000.0
C1,T2,Mem Tile,37,256,128,4,500000000.0
C1,T3,Mem Tile,144,256,128,4,500000000.0
C1,T5,Mem Tile,37,256,128,4,500000000.0
C1,T6,Mem Tile,144,256,128,4,500000000.0
C1,T8,Mem Tile,37,256,128,4,500000000.0
C1,T9,Mem Tile,144,256,128,4,500000000.0
C1,T11,Mem Tile,37,256,128,4,500000000.0
C1,T13,Mem Tile,37,256,128,4,500000000.0
C1,T15,Mem Tile,37,256,128,4,500000000.0
C1,T17,Mem Tile,37,256,128,4,500000000.0
C1,T19,Mem Tile,37,256,128,4,500000000.0
C1,T21,Mem Tile,37,256,128,4,500000000.0
C1,T23,Mem Tile,114,256,128,4,500000000.0
C1,T25,Mem Tile,114,256,128,4,500000000.0
C1,T27,Mem Tile,37,256,128,4,500000000.0
C1,T28,Mem Tile,144,256,128,4,500000000.0
C1,T30,Mem Tile,37,256,128,4,500000000.0
